nom,code postal,code insee,Pop 2012
Labarthe-Bleys,81170,81111,100
Roquevidal,81470,81229,100
Alban,81250,81003,1000
Grave,81150,81131,1800
Massaguel,81110,81160,400
Bannières,81500,81022,200
Paulinet,81250,81203,500
Graulhet,81300,81105,12200
Coufouleux,81800,81070,2200
Saint-Amans-Soult,81240,81238,1700
Teillet,81120,81295,500
Saint-Pierre-de-Trivisy,81330,81267,600
Pont-de-Larn,81660,81209,2900
Viviers-lès-Lavaur,81500,81324,200
Massac-Séran,81500,81159,300
Angles,81260,81014,600
Saint-Michel-de-Vax,81140,81265,100
Assac,81340,81019,200
Saint-Salvi-de-Carcavès,81530,81268,100
Ronel,81120,81226,200
Aussillon,81200,81021,6600
Penne,81140,81206,600
Saint-Sernin-lès-Lavaur,81700,81270,100
Le Verdier,81140,81313,200
Cunac,81990,81074,1400
Damiatte,81220,81078,900
Laparrouquial,81640,81135,100
Cambounet-sur-le-Sor,81580,81054,800
Saint-Benoît-de-Carmaux,81400,81244,2100
Saïx,81710,81273,3300
Moularès,81190,81186,300
Vindrac-Alayrac,81170,81320,100
Carlus,81990,81059,700
Saint-Sulpice,81370,81271,7800
Le Bez,81260,81031,800
Sainte-Croix,81150,81326,300
Orban,81120,81198,300
Puéchoursi,81470,81214,100
Senouillac,81600,81283,1000
Mirandol-Bourgnounac,81190,81168,1100
Puybegon,81390,81215,600
Péchaudier,81470,81205,200
Crespinet,81350,81073,100
Montfa,81210,81177,300
Labastide-Dénat,81120,81113,400
Saint-Affrique-les-Montagnes,81290,81235,700
Laboutarie,81120,81119,500
Massals,81250,81161,100
Parisot,81310,81202,800
Arifat,81360,81017,200
Bruguière,81290,81120,6000
Saint-Germain-des-Prés,81700,81251,800
Broze,81600,81041,100
Croisille,81470,81127,100
Le Riols,81170,81224,100
Courris,81340,81071,100
Saint-Michel-Labadié,81340,81264,100
Le Sequestre,81990,81284,1600
Faussergues,81340,81089,100
Terre-Clapier,81120,81296,200
Le Vintrou,81240,81321,100
Le Fraysse,81430,81096,400
Missècle,81300,81169,100
Lagarrigue,81090,81130,1700
Saint-Germier,81210,81252,100
Bertre,81700,81030,100
Burlats,81100,81042,1900
Berlats,81260,81028,100
Lescure-d'Albigeois,81380,81144,4000
Pampelonne,81190,81201,700
Amarens,81170,81009,100
Fiac,81500,81092,800
Saint-Salvy-de-la-Balme,81490,81269,600
Le Ségur,81640,81280,200
Soual,81580,81289,2200
Tanus,81190,81292,500
Fayssac,81150,81087,300
Arfons,81110,81016,200
Miolles,81250,81167,100
Cabannes,81170,81045,300
Cagnac-les-Mines,81130,81048,2200
Cestayrols,81150,81067,500
Palleville,81700,81200,400
Marsal,81430,81155,300
Carmaux,81400,81060,10200
Cambounès,81260,81053,300
Aussac,81600,81020,300
Poulan-Pouzols,81120,81211,400
Souel,81170,81290,200
Castres,81100,81065,43000
Vabre,81330,81305,800
Saint-Julien-Gaulène,81340,81259,200
Peyregoux,81440,81207,100
Roquemaure,81800,81228,400
Roquecourbe,81210,81227,2200
Salvagnac,81630,81276,1000
Saint-Christophe,81190,81245,100
Boissezon,81490,81034,400
Cambon,81990,81052,1800
Bernac,81150,81029,200
Loubers,81170,81148,100
Monestiés,81640,81170,1300
Valderiès,81350,81306,900
Le Dourn,81340,81082,100
Saint-Urcisse,81630,81272,200
Saint-Paul-Cap-de-Joux,81220,81266,1000
Mouzieys-Panens,81170,81191,200
Noailles,81170,81197,200
Cammazes,81540,81055,300
Valdurenque,81090,81307,800
Escoussens,81290,81084,600
Florentin,81150,81093,700
Lescout,81110,81143,500
Jouqueviel,81190,81110,100
Giroussens,81500,81104,1300
Belcastel,81500,81025,200
Maurens-Scopont,81470,81162,200
Poudis,81700,81210,200
Rivières,81600,81225,900
Montdurausse,81630,81175,300
Laboulbène,81100,81118,100
Le Travet,81120,81301,100
Lombers,81120,81147,1000
Teulat,81500,81298,500
